Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
97,Northern Iowa,MVC,1-Aug,7.02,102.1,95.1,65.4,0.028,-2.09,98.6,100.7,-2.09
98,Harvard,Ivy,4-May,6.89,103.2,96.3,68.6,-0.031,2.02,101.4,99.3,2.02
99,Northwestern,B10,3-Apr,6.83,101.8,95,68.7,-0.043,-1.02,98,99,-1.02
100,St. John's,BE,2-Jul,6.78,102.6,95.8,75,-0.06,-10.04,93.9,103.9,-10.04
101,Kent St.,MAC,1-Jul,6.74,102.6,95.8,70.8,0.165,-0.26,100.9,101.2,-0.26
102,South Carolina,SEC,3-Jun,6.71,102.7,96,73.5,0.018,-6.25,94.8,101.1,-6.25
103,UCF,Amer,2-May,6.37,102.2,95.9,68.7,0.039,-0.01,102.1,102.1,-0.01
104,UC Irvine,BW,4-May,6.31,101.6,95.3,69.8,-0.077,4.39,102.2,97.8,4.39
105,UTEP,CUSA,1-May,5.79,96.8,91,68.5,-0.036,6.28,104.6,98.3,6.28
106,Bowling Green,MAC,2-Jun,5.7,103.8,98.1,74.1,0.123,6.85,103.8,97,6.85
107,Tulsa,Amer,1-Jul,5.5,100.4,94.9,65.6,0.116,-10.68,95.4,106.1,-10.68
108,San Francisco,WCC,2-Aug,5.49,107.2,101.7,71.6,-0.008,-3.48,98.1,101.6,-3.48
109,Penn,Ivy,4-May,5.46,104.4,99,71.7,0.105,8.43,105.2,96.8,8.43
110,Boise St.,MWC,3-Apr,5.33,103.8,98.4,69.6,0.041,5.89,103.9,98,4.04
111,Loyola Chicago,MVC,4-May,5.07,100.4,95.3,68,-0.074,-3.78,96.9,100.7,-3.78
112,Wright St.,Horz,2-Jul,5.02,102.9,97.9,72.3,-0.055,-1.91,99,100.9,-1.91
113,Saint Louis,A10,1-Jul,4.86,97.9,93,68.9,0.093,-4.49,97.2,101.7,-4.49
114,UCLA,P12,3-Jun,4.74,104.7,99.9,67,0.014,-3.04,99.7,102.8,-3.04
115,Buffalo,MAC,3-May,4.51,103.7,99.2,76.7,0.084,2.43,101.3,98.9,2.43
116,Northern Kentucky,Horz,3-Jun,4.29,101.4,97.1,68,0.012,3.25,100.2,96.9,3.25
117,Utah,P12,2-Jun,4.03,106.1,102.1,70,0.109,-1.45,100,101.5,-1.45
118,Colgate,Pat,3-Jun,3.84,105.7,101.8,68.1,0.157,3.19,102.7,99.5,3.19
119,South Florida,Amer,4-May,3.2,97.2,94,66.8,-0.008,-3.63,97.4,101,-3.63
120,Pepperdine,WCC,6-Apr,3.04,106.9,103.9,72.5,-0.036,3.2,101.2,98,3.2
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
121,George Mason,A10,1-Sep,2.99,100.9,97.9,66.7,0.184,-5.33,97.2,102.5,-5.33
122,Hofstra,CAA,3-Jun,2.96,106.2,103.3,71.1,-0.026,-4.82,97,101.9,-4.82
123,Vanderbilt,SEC,2-Jun,2.92,103.4,100.5,71.1,-0.032,-9.35,96,105.3,-9.35
124,South Alabama,SB,3-May,2.87,104.9,102,66.8,-0.038,0.17,100.6,100.4,0.17
125,Rider,MAAC,2-May,2.77,102.2,99.4,73.2,0.112,-1.56,98.3,99.9,-1.56
126,Radford,BSth,4-Mar,2.65,104.3,101.6,65.3,-0.156,5.16,102.3,97.1,5.16
127,Texas St.,SB,3-Jun,2.6,99.3,96.8,66.7,-0.043,-2.67,98.8,101.5,-2.67
128,Fresno St.,MWC,5-Feb,2.55,102.2,99.7,64.8,-0.061,4.89,103.6,98.8,7.11
129,Indiana St.,MVC,4-Apr,2.44,104.5,102.1,69.3,-0.013,7.34,104.4,97.1,7.34
130,Northeastern,CAA,4-May,2.43,106.2,103.8,67.9,-0.073,-3.53,97.7,101.2,-3.53
